"record_id","acc_mean.learning","acc_mean.test","acc_std.learning","acc_std.test","rt_mean.learning","rt_mean.test","rt_std.learning","rt_std.test","rt_c_mean.learning","rt_c_mean.test","rt_c_std.learning","rt_c_std.test"
30004,0.916666666666667,0.972222222222222,0.280305955290694,0.166666666666667,1263.61111111111,2299.28571428571,389.460159545256,145.935838324803,1230.24242424242,2299.28571428571,381.310817305173,145.935838324803
30008,0.944444444444444,0.944444444444444,0.232310684145723,0.232310684145723,1674.86111111111,2504.63888888889,628.395151057848,268.563602765078,1660.94117647059,2475.17647058824,641.487851094317,204.529240791337
30009,0.972222222222222,0.972222222222222,0.166666666666667,0.166666666666667,1568.69444444444,2405.33333333333,526.532094772386,421.122174332207,1562.51428571429,2373.48571428571,532.892681582355,380.752148148015
30012,0.916666666666667,0.805555555555556,0.280305955290694,0.401386485959743,2146.41666666667,2545.90625,1072.39039733006,383.20392611759,1971.12121212121,2503.03448275862,928.408643781651,376.663119924595
30015,0.972222222222222,0.888888888888889,0.166666666666667,0.318727629155838,2064.25,2691.22857142857,1210.10486853708,622.799329673705,2043.54285714286,2608.3125,1221.28322925127,571.810110455696
30019,1,0.944444444444444,0,0.232310684145723,2039.41666666667,2464.97142857143,748.144538174275,288.220553387433,2039.41666666667,2471.55882352941,748.144538174275,289.868224101968
30020,0.861111111111111,0.777777777777778,0.350736187206101,0.421637021355784,2708.11111111111,2963.90625,1505.45341585238,626.076691137343,2382.96774193548,2892.17857142857,1199.24224641704,575.150160977077
30023,1,0.944444444444444,0,0.232310684145723,1297.30555555556,2063.97222222222,438.378168085465,146.118246853335,1297.30555555556,2058.5,438.378168085465,148.578364182106
30040,0.916666666666667,0.972222222222222,0.280305955290694,0.166666666666667,1456.13888888889,2073.11111111111,657.460271598337,205.04616592058,1427.66666666667,2053.6,653.657338876163,170.800571703135
30057,1,1,0,0,1384.58333333333,2440.61111111111,408.435438157436,192.971837734759,1384.58333333333,2440.61111111111,408.435438157436,192.971837734759
30064,0.861111111111111,0.861111111111111,0.350736187206101,0.350736187206101,2196.33333333333,2771.11111111111,734.064029904749,633.137438375757,2129.1935483871,2609.8064516129,742.083572084027,489.644933896311
30066,0.722222222222222,0.805555555555556,0.454256762579498,0.401386485959743,2335.05555555556,2769.8,923.640651968207,657.64154369991,2202,2686.44827586207,893.571619961153,617.074641595725
30069,0.888888888888889,0.777777777777778,0.318727629155838,0.421637021355784,1962.36111111111,2322.06896551724,909.262343182736,310.403991486956,1929.3125,2286.64285714286,943.038652014618,249.351041303103
30074,0.944444444444444,0.944444444444444,0.232310684145723,0.232310684145723,1667.25,2526.91666666667,646.538094115774,226.669851168106,1664.73529411765,2494.94117647059,638.560944094327,160.504874121492
30085,0.416666666666667,0.694444444444444,0.5,0.467176592151157,985.277777777778,2572.14705882353,418.913807098522,333.834846879542,963.733333333333,2557.64,307.196881184565,320.79145354368
30088,0.333333333333333,0.694444444444444,0.478091443733757,0.467176592151157,735.416666666667,2810.11111111111,381.360150364081,496.006669181994,865.083333333333,2726.12,551.837502157908,428.96817286756
30090,0.916666666666667,1,0.280305955290694,0,1002.27777777778,2197.72222222222,289.312644641064,165.997179168995,1000.72727272727,2197.72222222222,289.003165286221,165.997179168995
30091,0.972222222222222,0.916666666666667,0.166666666666667,0.280305955290694,1452.94444444444,2414.22857142857,347.550115148424,397.913165646675,1437.34285714286,2370.9696969697,339.592830837611,301.985356106932
30095,0.944444444444444,0.916666666666667,0.232310684145723,0.280305955290694,2128.08333333333,2522.85714285714,1296.75148792225,365.262769463714,1965.02941176471,2546.9696969697,1091.24225805978,350.622525378833
30096,0.805555555555556,0.972222222222222,0.401386485959743,0.166666666666667,1446.38888888889,2306.4,490.090794957003,248.594188564888,1396.27586206897,2306.4,410.463840111902,248.594188564888
30105,0.722222222222222,0.777777777777778,0.454256762579498,0.421637021355784,2317.83333333333,2764.38888888889,916.167779394146,449.272763333162,2067.73076923077,2717.03571428571,770.850157044405,417.78503085987
30116,0.944444444444444,0.972222222222222,0.232310684145723,0.166666666666667,2029,2332.47222222222,678.210923786146,300.140965558434,2026,2329.6,680.392088386831,304.02043274986
30118,0.527777777777778,NA,0.506309397848002,NA,1256.91666666667,NA,991.606614828395,NA,1722.73684210526,NA,1166.81112639465,NA
30119,0.916666666666667,0.916666666666667,0.280305955290694,0.280305955290694,2162.55555555556,2504.75,901.473950006146,493.242529448894,2134.78787878788,2454.63636363636,857.394226624185,464.029216360741
30128,0.861111111111111,1,0.350736187206101,0,1866.69444444444,2466.94444444445,619.365381174009,383.050980899741,1773.38709677419,2466.94444444445,603.449068683202,383.050980899741
30181,1,1,0,0,1479.97222222222,2235.25,530.340994676935,193.016709121257,1479.97222222222,2235.25,530.340994676935,193.016709121257
30217,1,1,0,0,2212.05555555556,2484.41666666667,846.39230837865,373.037062501838,2212.05555555556,2484.41666666667,846.39230837865,373.037062501838
30227,1,0.972222222222222,0,0.166666666666667,1679.72222222222,2296.86111111111,610.965166699899,197.09912702246,1679.72222222222,2293.31428571429,610.965166699899,198.807588242645
30236,0.972222222222222,1,0.166666666666667,0,1417.27777777778,2440.77777777778,538.438197069536,184.738751617538,1426.94285714286,2440.77777777778,543.121367806559,184.738751617538
